@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le         0.938272013
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050546
@ KBUNCH           %le                   1
@ BCURRENT         %le      0.000207198211
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le      0.000321634169
@ ORBIT5           %le                  -0
@ GAMMATR          %le         55.75950503
@ Q1               %le         64.28000068
@ Q2               %le         59.31000012
@ DQ1              %le        -86.19015569
@ DQ2              %le        -81.51559529
@ DXMAX            %le         2.859817065
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         595.1194258
@ BETYMAX          %le         609.5259281
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.396874723
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %52s "V6.5: new IR3/7, moved Q3 in IR1/2/5/8 -  March 2004"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "08/11/17"
@ TIME             %08s "21.10.32"
* NAME                                S               BETX               ALFX                MUX                  X                 DX 
$ %s                                %le                %le                %le                %le                %le                %le 
 "BPM.8R2.B1"               2237.229223         126.957734      -0.5640600488        5.685443414                  0    -0.004575188857
 "BPM.9R2.B1"               2276.294233        15.14057878       0.3073959956        5.839152238                  0       0.4874291636
 "BPM.10R2.B1"              2316.757244        160.8387603       -3.585491205        6.022662774                  0        2.090695917
 "BPM.11R2.B1"              2368.595955        35.40871502       0.5968840502        6.128581822                  0        1.114964988
 "BPM.12R2.B1"              2423.319471        176.1420847       -2.328350168        6.261710891                  0        2.021750996
 "BPM.13R2.B1"              2476.767987        30.98023842       0.5251353059        6.378994208                  0       0.9903512789
 "BPM.14R2.B1"              2530.216502        170.9897799       -2.425916574        6.523009431                  0        1.974178248
 "BPM.15R2.B1"              2583.665018         30.9371099       0.4961919132        6.642463209                  0       0.9896600845
 "BPM.16R2.B1"              2637.113534        170.9897771       -2.425916542        6.786481209                  0        1.974178308
 "BPM.17R2.B1"               2690.56205         30.9371101       0.4961918997        6.905934987                  0       0.9896601183
 "BPM.18R2.B1"              2744.010566        170.9897796       -2.425916567        7.049952985                  0        1.974178354
 "BPM.19R2.B1"              2797.459082        30.93710982       0.4961919106        7.169406763                  0       0.9896601141
 "BPM.20R2.B1"              2850.907598        170.9897774       -2.425916549        7.313424764                  0        1.974178286
 "BPM.21R2.B1"              2904.356114        30.93711018       0.4961919026        7.432878542                  0        0.989660081
 "BPM.22R2.B1"               2957.80463        170.9897792        -2.42591656         7.57689654                  0        1.974178251
 "BPM.23R2.B1"              3011.253146        30.93710975       0.4961919074        7.696350318                  0       0.9896600908
 "BPM.24R2.B1"              3064.701661        170.9897779       -2.425916557        7.840368318                  0        1.974178325
 "BPM.25R2.B1"              3118.150177        30.93711023        0.496191906        7.959822096                  0       0.9896601222
 "BPM.26R2.B1"              3171.598693        170.9897787       -2.425916552        8.103840094                  0        1.974178348
 "BPM.27R2.B1"              3225.047209        30.93710971        0.496191904        8.223293873                  0       0.9896601071
 "BPM.28R2.B1"              3278.495725        170.9897784       -2.425916564        8.367311873                  0         1.97417827
 "BPM.29R2.B1"              3331.944241        30.93711025       0.4961919093         8.48676565                  0       0.9896600783
 "BPM.30R2.B1"              3385.392757        170.9897782       -2.425916544        8.630783649                  0        1.974178261
 "BPM.31R2.B1"              3438.841273         30.9371097       0.4961919008        8.750237428                  0       0.9896600982
 "BPM.32R2.B1"              3492.289789        170.9897789       -2.425916571        8.894255428                  0         1.97417834
 "BPM.33R2.B1"              3545.738305        30.93711025       0.4961919122        9.013709205                  0       0.9896601237
 "BPM.34R2.B1"               3599.18682        170.9897777       -2.425916538        9.157727204                  0        1.974178336
 "BPM.33L3.B1"              3652.635336        30.93710972       0.4961918982        9.277180983                  0       0.9896600994
 "BPM.32L3.B1"              3706.083852        170.9897793       -2.425916576        9.421198982                  0        1.974178257
 "BPM.31L3.B1"              3759.532368        30.93711021       0.4961919144        9.540652759                  0       0.9896600781
 "BPM.30L3.B1"              3812.980884        170.9897773       -2.425916534        9.684670758                  0        1.974178275
 "BPM.29L3.B1"                3866.4294        30.93710977       0.4961918965        9.804124537                  0       0.9896601059
 "BPM.28L3.B1"              3919.877916        170.9897797       -2.425916579        9.948142537                  0         1.97417835
 "BPM.27L3.B1"              3973.326432        30.93711015       0.4961919156        10.06759631                  0       0.9896601226
 "BPM.26L3.B1"              4026.774948         170.989777       -2.425916533        10.21161431                  0         1.97417832
 "BPM.25L3.B1"              4080.223464        30.93710985       0.4961918958        10.33106809                  0       0.9896600919
 "BPM.24L3.B1"               4133.67198        170.9897799        -2.42591658        10.47508609                  0         1.97417825
 "BPM.23L3.B1"              4187.120495        30.93711007       0.4961919157        10.59453987                  0       0.9896600804
 "BPM.22L3.B1"              4240.569011        170.9897769       -2.425916534        10.73855787                  0        1.974178292
 "BPM.21L3.B1"              4294.017527        30.93710994       0.4961918963        10.85801165                  0       0.9896601131
 "BPM.20L3.B1"              4347.466043          170.98978       -2.425916577        11.00202965                  0        1.974178355
 "BPM.19L3.B1"              4400.914559        30.93710997       0.4961919147        11.12148342                  0        0.989660119
 "BPM.18L3.B1"              4454.363075        170.9897769       -2.425916537        11.26550142                  0        1.974178302
 "BPM.17L3.B1"              4507.811591        30.93711003       0.4961918978         11.3849552                  0       0.9896600854
 "BPM.16L3.B1"              4561.260107        170.9897798       -2.425916572         11.5289732                  0        1.974178248
 "BPM.15L3.B1"              4614.708623        30.93710988       0.4961919127        11.64842698                  0       0.9896600851
 "BPM.14L3.B1"              4668.157139        170.9897772       -2.425916543        11.79244498                  0         1.97417831
 "BPM.13L3.B1"              4721.605654        30.93711012       0.4961919003        11.91189876                  0       0.9896601188
 "BPM.12L3.B1"               4775.05417        168.1913221        -2.38952687        12.05752241                  0        1.943920139
