@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le         0.938272013
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050546
@ KBUNCH           %le                   1
@ BCURRENT         %le      0.000207198211
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le     0.0003234634584
@ ORBIT5           %le                  -0
@ GAMMATR          %le         55.60161256
@ Q1               %le         64.28000144
@ Q2               %le          59.3100025
@ DQ1              %le        -86.18983421
@ DQ2              %le        -81.51516585
@ DXMAX            %le         4.816960286
@ DYMAX            %le                  -0
@ XCOMAX           %le       0.01361252637
@ YCOMAX           %le                   0
@ BETXMAX          %le         595.1279846
@ BETYMAX          %le          609.515359
@ XCORMS           %le       0.00459229121
@ YCORMS           %le                   0
@ DXRMS            %le          1.83494418
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %52s "V6.5: new IR3/7, moved Q3 in IR1/2/5/8 -  March 2004"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "09/11/17"
@ TIME             %08s "08.37.54"
* NAME                                S               BETX               ALFX                MUX                  X                 DX 
$ %s                                %le                %le                %le                %le                %le                %le 
 "BPMYB.4R2.B1"             2080.087212        70.77223157        1.384203538        5.386564412     0.004640289232        1.637153334
 "BPMR.5R2.B1"              2109.621212        33.01066606       -0.772130955        5.506246771     0.003758395496        0.678881803
 "BPM.6R2.B1"               2182.917212        287.5843805        6.974693615        5.615862674     0.007399426957      -0.1662637759
 "BPM_A.7R2.B1"             2195.792212        136.6025198        4.752052843        5.626208407     0.004709924664      -0.2607812062
 "BPM.8R2.B1"               2237.229223        126.9546705      -0.5640630023        5.685447235     0.002072238866      -0.8620184521
 "BPM.9R2.B1"               2276.294233         15.1408921       0.3073843227        5.839156411    -0.001631642153      -0.2125537608
 "BPM.10R2.B1"              2316.757244        160.8381289       -3.585461925        6.022663328    -0.008110772316       0.7982833874
 "BPM.11R2.B1"              2368.595955        35.40841714       0.5968797677        6.128582981    -0.002350907228        1.181193599
 "BPM.12R2.B1"              2423.319471        176.1422489       -2.328356982        6.261712733     0.001732004847        3.888214569
 "BPM.13R2.B1"              2476.767987        30.98037956        0.525137312        6.378995761     0.002969344455        1.991490546
 "BPM.14R2.B1"              2530.216502        170.9902691       -2.425910843        6.523010605     0.008357812991        3.309283893
 "BPM.15R2.B1"              2583.665018        30.93642563       0.4961824155        6.642465995     0.001931101132       0.8531905562
 "BPM.16R2.B1"              2637.113534        170.9902135       -2.425949746          6.7864859     -0.00300354925     -0.03527399902
 "BPM.17R2.B1"               2690.56205        30.93799768       0.4962080184        6.905937221    -0.003293794817      0.02039422366
 "BPM.18R2.B1"              2744.010566        170.9877323       -2.425867372        7.049953167    -0.007849942586       0.9662169111
 "BPM.19R2.B1"              2797.459082        30.93675336       0.4961777055        7.169408528    -0.001374177011         1.27617093
 "BPM.20R2.B1"              2850.907598        170.9919644       -2.425950357        7.313426538     0.004330828494        4.121063333
 "BPM.21R2.B1"              2904.356114        30.93712593       0.4962031546        7.432879495     0.003526125687        1.904693719
 "BPM.22R2.B1"               2957.80463        170.9884522       -2.425893645        7.576898564     0.007117635733        2.637306801
 "BPM.23R2.B1"              3011.253146        30.93669223       0.4961759644        7.696354052    0.0007779256783        0.563236469
 "BPM.24R2.B1"              3064.701661        170.9914617       -2.425958823        7.840372227    -0.005534391767      -0.2549271023
 "BPM.25R2.B1"              3118.150177        30.93784264       0.4962140651        7.959823329    -0.003657691944       0.1499886131
 "BPM.26R2.B1"              3171.598693        170.9866373       -2.425856383        8.103840487    -0.006181855083        1.664683069
 "BPM.27R2.B1"              3225.047209        30.93683899       0.4961717936        8.223296178   -0.0001594711004         1.54268175
 "BPM.28R2.B1"              3278.495725        170.9932274        -2.42596198        8.367313267     0.006579645471        4.229638579
 "BPM.29R2.B1"              3331.944241        30.93685877       0.4962061252        8.486766356     0.003684630069        1.735141112
 "BPM.30R2.B1"              3385.392757        170.9874486       -2.425892176         8.63078682     0.005069266052        1.929918757
 "BPM.31R2.B1"              3438.841273        30.93712955       0.4961769084        8.750241628   -0.0004635829114       0.3260602327
 "BPM.32R2.B1"              3492.289789        170.9917582        -2.42594929          8.8942581    -0.007436819711      -0.2524868556
 "BPM.33R2.B1"              3545.738305         30.9375017       0.4962117209        9.013709863    -0.003606268992       0.3544287388
 "BPM.34R2.B1"               3599.18682        170.9867357       -2.425866322         9.15772817    -0.003811836421        2.363653146
 "BPM.33L3.B1"              3652.635336         30.9370346       0.4961741623         9.27718342     0.001073340624        1.745504393
 "BPM.32L3.B1"              3706.083852          170.99321       -2.425954466        9.421199959     0.008081358409        4.118978276
 "BPM.31L3.B1"              3759.532368        30.93656668       0.4962015336        9.540653772     0.003424753869        1.501587856
 "BPM.30L3.B1"              3812.980884        170.9876252        -2.42590694        9.684674984      0.00244529647        1.255965412
 "BPM.29L3.B1"                3866.4294        30.93759079       0.4961852833        9.804128535    -0.001652454459        0.161635825
 "BPM.28L3.B1"              3919.877916        170.9909138        -2.42592348        9.948143934    -0.008494823274     -0.03889236673
 "BPM.27L3.B1"              3973.326432        30.93711818       0.4962017822        10.06759698    -0.003145365222       0.6107889606
 "BPM.26L3.B1"              4026.774948        170.9880701       -2.425893267        10.21161587    -0.001008990317        2.997042845
 "BPM.25L3.B1"              4080.223464        30.93720889       0.4961833542        10.33107019     0.002184276135        1.868517258
 "BPM.24L3.B1"               4133.67198        170.9919635       -2.425932929        10.47508694     0.008665446944        3.810061794
 "BPM.23L3.B1"              4187.120495        30.93639331       0.4961917139        10.59454171     0.002776004936        1.229096886
 "BPM.22L3.B1"              4240.569011        170.9888106       -2.425930652        10.73856266   -0.0004563240455       0.6772690271
 "BPM.21L3.B1"              4294.017527        30.93791492       0.4961977532        10.85801485    -0.002653695471      0.08197136661
 "BPM.20L3.B1"              4347.466043        170.9892732       -2.425891112        11.00203013    -0.008588272786       0.3556747148
 "BPM.19L3.B1"              4400.914559        30.93683939       0.4961882664        11.12148458    -0.002327315386       0.8925428801
 "BPM.18L3.B1"              4454.363075        170.9901497       -2.425926377        11.26550328     0.001908430683        3.508638064
 "BPM.17L3.B1"              4507.811591        30.93724615       0.4961950154        11.38495668     0.003047192133        1.903977902
 "BPM.16L3.B1"              4561.260107        170.9900494       -2.425908364        11.52897444     0.008265587369        3.341239614
 "BPM.15L3.B1"              4614.708623        30.93644363       0.4961814183        11.64842988      0.00181204657       0.9449734043
 "BPM.14L3.B1"              4668.157139        170.9903815       -2.425951547        11.79244962    -0.003306123329       0.2432782347
 "BPM.13L3.B1"              4721.605654        30.93799286        0.496209042        11.91190087     -0.00335361745      0.09050202788
 "BPM.12L3.B1"               4775.05417        168.1890605       -2.389474744         12.0575226    -0.007603103804       0.8828651478
 "BPM.11L3.B1"              4828.502686         27.9560358       0.4347083564        12.18616483   -0.0009572001886        1.143434125
 "BPM.10L3.B1"              4881.283397        158.3787077       -2.339629478        12.34257522     0.005414796089        3.320834212
 "BPM.9L3.B1"               4920.348407        54.36661098       0.9508953075        12.40697627     0.004380624058        1.973467822
 "BPM.8L3.B1"               4960.811418        177.4122257       -2.496407262        12.48275773     0.008830026264        3.321224192
 "BPM.7L3.B1"               4999.875429        53.68384332          1.1117284         12.5437962     0.004474998052        1.814269782
 "BPM.6L3.B1"               5072.514429        206.7719103        2.290570869        12.66258616     0.003928599599        2.522677992
 "BPMWE.5L3.B1"             5115.643929         65.3860147        0.987600299        12.72306583    0.0002396403202       0.8111350255
 "BPMW.5L3.B1"              5143.188929        56.59394547      -0.5635243491        12.80302769    -0.002204065295      -0.1522953223
 "BPMWE.4L3.B1"             5218.316929        272.6694675        -2.31257407         12.9063975    -0.009792653784       -2.713601741
 "BPMW.4L3.B1"              5245.861929         250.607505        3.453491095         12.9216004    -0.009792990722       -2.868492011
 "BPMW.4R3.B1"              5290.826929        44.32428007        1.134148733        12.99175099    -0.004402505141       -1.574396625
 "BPMWE.4R3.B1"             5318.371929        30.72198164      -0.5357188889        13.13939746    -0.001984413308       -1.124849882
 "BPMW.5R3.B1"              5393.499929        347.6625378       -3.682955322        13.26892644     0.002979860423       -0.652785593
 "BPMWE.5R3.B1"             5421.044929        312.5732356        4.300625808        13.28094605     0.003675777351      -0.2878524974
 "BPMWC.6R3.B1"             5462.035929         64.7982988        1.743992319        13.32744543     0.003062389737       0.4381628469
 "BPMR.6R3.B1"              5474.114429        39.72979147        0.304081939        13.36754931     0.003175566415       0.7098278686
 "BPM_A.7R3.B1"             5529.938429        91.47030939       -1.230932719        13.55594774     0.005636085051        2.345119013
 "BPM.8R3.B1"               5569.002439         34.7466516       0.2965575183        13.66778374     0.001493327827        1.190783292
 "BPM.9R3.B1"                5608.06745        128.3643769       -2.008031913        13.77292242    -0.001993111147        1.238190872
 "BPM.10R3.B1"               5648.53046        53.87717939        0.623735342        13.84837213    -0.003290880436       0.4709219611
 "BPM.11R3.B1"              5701.311171        181.4944561       -1.961217407         13.9427676    -0.008686526996       0.5038157777
 "BPM.12R3.B1"              5756.034687        41.26198386       0.5638641335        14.04614439    -0.003898356887        0.548559142
 "BPM.13R3.B1"              5809.483203        171.4228748       -2.139021167         14.1649826    -0.003457525748        2.133410726
 "BPM.14R3.B1"              5862.931719        30.93767297       0.4961775292        14.28443582     0.001232936934        1.634085617
 "BPM.15R3.B1"              5916.380235        170.9935265       -2.425937234        14.42845009     0.008215973825        4.004739938
 "BPM.16R3.B1"              5969.828751        30.93589327       0.4961940701        14.54790539     0.003358884261        1.536827756
 "BPM.17R3.B1"              6023.277267        170.9879243       -2.425933547        14.69192861     0.002063855739        1.508829268
 "BPM.18R3.B1"              6076.725782        30.93829704       0.4961969103        14.81138033     -0.00180091322       0.2668190909
 "BPM.19R3.B1"              6130.174298        170.9899348       -2.425887458        14.95539399    -0.008564939117      0.03098450381
 "BPM.20R3.B1"              6183.622814        30.93642775       0.4961865403        15.07484912    -0.003054392547       0.5571394881
 "BPM.21R3.B1"               6237.07133        170.9896945        -2.42593659        15.21886932   -0.0006156951135        2.732070087
 "BPM.22R3.B1"              6290.519846          30.937842       0.4962014605        15.33832143     0.002317352128        1.772787863
 "BPM.23R3.B1"              6343.968362        170.9898147       -2.425884537        15.48233738     0.008669061442        3.786640547
 "BPM.24R3.B1"              6397.416878        30.93581093       0.4961711001        15.60179447     0.002662530779        1.299492132
 "BPM.25R3.B1"              6450.865394        170.9914168       -2.425983653        15.74581577   -0.0008502303359       0.9462177713
 "BPM.26R3.B1"               6504.31391        30.93845594       0.4962206288        15.86526552    -0.002767584409       0.1653207869
 "BPM.27R3.B1"              6557.762426         170.986211       -2.425833876        16.00928085    -0.008525282777        0.331963659
 "BPM.28R3.B1"              6611.210941        30.93637558       0.4961638873        16.12873775    -0.002194583666       0.8075752414
 "BPM.29R3.B1"              6664.659457        170.9935989       -2.425985491        16.27275593     0.002291687565         3.24396308
 "BPM.30R3.B1"              6718.107973        30.93759012       0.4962198415        16.39220702      0.00313863744        1.835553366
 "BPM.31R3.B1"              6771.556489        170.9863825       -2.425850336        16.53622583     0.008137790548         3.41131525
 "BPM.32R3.B1"              6825.005005        30.93621403       0.4961568136         16.6556834     0.001663852507        1.041894966
 "BPM.33R3.B1"              6878.453521        170.9941314       -2.426007344        16.79970165    -0.003667768349       0.4955661176
 "BPM.34R3.B1"              6931.902037         30.9381336       0.4962330904        16.91915093    -0.003420004758       0.1419152846
 "BPM.33L4.B1"              6985.350553        170.9837753       -2.425811876        17.06316879    -0.007517613666       0.7716365825
 "BPM.32L4.B1"              7038.799069        30.93671629       0.4961538571        17.18262597    -0.001085587664        1.066387946
 "BPM.31L4.B1"              7092.247585        170.9959206       -2.426001607        17.32664178     0.004938860999        3.624518372
 "BPM.30L4.B1"                7145.6961          30.937002       0.4962244328        17.44609333     0.003603538382        1.819857427
 "BPM.29L4.B1"              7199.144616         170.984718       -2.425850664          17.590115     0.006682487761        2.918405982
 "BPM.28L4.B1"              7252.593132        30.93696476       0.4961580022        17.70957144    0.0004762464741       0.7876895409
 "BPM.27L4.B1"              7306.041648        170.9947763        -2.42599244        17.85358674    -0.006068837717       0.1922542176
 "BPM.26L4.B1"              7359.490164        30.93749199       0.4962288413        17.97303723    -0.003684093643       0.1956042648
 "BPM.25L4.B1"               7412.93868         170.983745       -2.425830518        18.11705727    -0.005656345946        1.305728327
 "BPM.24L4.B1"              7466.387196        30.93725609       0.4961603815        18.23651323    0.0001466719903        1.310404569
 "BPM.23L4.B1"              7519.835712        170.9957218       -2.425979661         18.3805275      0.00702524135        3.845356436
 "BPM.22L4.B1"              7573.284228        30.93632483       0.4962132462         18.4999808      0.00365926668        1.730087306
 "BPM.21L4.B1"              7626.732744        170.9854982       -2.425885713        18.64400414     0.004468403809        2.355728544
 "BPM.20L4.B1"               7680.18126        30.93777734       0.4961746296        18.76345822   -0.0007654377974       0.5590854266
 "BPM.19L4.B1"              7733.629775          170.99299       -2.425943625        18.90747183    -0.007780809079      0.05726546856
 "BPM.18L4.B1"              7787.078291        30.93681891       0.4962096363        19.02692469    -0.003529864673       0.3188115207
 "BPM.17L4.B1"              7840.526807        170.9862039       -2.425881558        19.17094557    -0.003152815755        1.884026157
 "BPM.16L4.B1"              7893.975323        30.93771048       0.4961801133        19.29039945     0.001362275828        1.518822913
 "BPM.15L4.B1"              7947.423839        170.9931553       -2.425931235        19.43441382     0.008313920085        3.893090972
 "BPM.14L4.B1"              8000.872355        30.93586058       0.4961914181        19.55386936     0.003299494253        1.576748291
 "BPM.13L4.B1"              8054.320871        170.9882976       -2.425939714        19.69789245     0.001746947519        1.774768371
 "BPM.12L4.B1"              8107.769387         33.4283135       0.5270011523         19.8118448    -0.001881736688         0.41479432
 "BPM.11L4.B1"              8161.217903        170.6728194       -2.343143102        19.94857813    -0.008491621595        0.236509056
 "BPMC.10L4.B1"             8213.056613        27.61665637       0.4806422937        20.07270876    -0.002911860119       0.3341563402
 "BPMC.9L4.B1"              8252.121624        127.4453208       -2.334681176         20.2011063    -0.001359801487        1.279573423
 "BPMC.8L4.B1"              8292.584634        19.79124613       0.5384379732        20.32469904     0.001650519143       0.7962522249
 "BPMC.7L4.B1"              8331.648645        111.9419289       -2.423578308        20.50509804     0.006929142313         1.42501745
 "BPMYB.6L4.B1"             8428.252645        125.5455765      -0.4558191144        20.64379815     0.003837106796       0.3729446386
 "BPMYA.5L4.B1"             8465.252645        438.8529789       -5.959784677        20.67028513     0.005104707201       0.1715768439
 "BPMWA.B5L4.B1"            8567.719145         260.272957       0.7589946603        20.71717286    0.0008733568902      -0.4656604766
 "BPMWA.A5L4.B1"            8576.604145        247.2636596       0.7051918841        20.72274821    0.0004867987006      -0.5312827829
 "BPMWA.A5R4.B1"            8624.653145        193.4764128       0.4142330101        20.75799884    -0.001603661001      -0.8861602386
 "BPMWA.B5R4.B1"            8633.538145        186.5935299       0.3604302338          20.765444    -0.001990219191      -0.9517825449
 "BPMYB.5R4.B1"             8735.928645        192.9560218       -3.421066443        20.86080112    -0.006738213141       -1.904293051
 "BPMYA.6R4.B1"             8767.492645        474.5138501       -5.499153691         20.8774333     -0.01153610946       -3.108837267
 "BPMCA.7R4.B1"             8864.008645        78.17984401        1.033816967         20.9565738    -0.005798005705       -1.325291706
 "BPMC.8R4.B1"              8901.797656        112.5975358      -0.8240411773        21.02542937     -0.00675303439       -1.173762036
 "BPMC.9R4.B1"              8940.862666        16.27961233       0.2444884808        21.18290006   -0.0007830932867       0.5190798317
 "BPMC.10R4.B1"             8981.325677        158.3422979       -3.427631937        21.35464619     0.005879557826        3.604124321
 "BPM.11R4.B1"              9033.164387        36.55324908       0.5862322471        21.45987804     0.003976014947        1.983517145
 "BPM.12R4.B1"              9087.887903         171.766682       -2.226585775        21.59130773     0.006656083796        3.111551532
 "BPM.13R4.B1"              9141.336419        30.94117811       0.4989579609        21.71055072    0.0004537726399       0.9069947575
 "BPM.14R4.B1"              9194.784935        170.9945281       -2.425987884        21.85456575     -0.00610679858       0.3870298428
 "BPM.15R4.B1"              9248.233451        30.93745843       0.4962269366        21.97401643    -0.003685040487       0.1971079623
 "BPM.16R4.B1"              9301.681967        170.9840188       -2.425835082        22.11803642    -0.005615831069        1.086321851
 "BPM.17R4.B1"              9355.130483        30.93727937        0.496162292        22.23749221    0.0001693303034        1.190901122
