@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le         0.938272013
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050546
@ KBUNCH           %le                   1
@ BCURRENT         %le      0.000207198211
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le      0.000321634169
@ ORBIT5           %le                  -0
@ GAMMATR          %le         55.75950503
@ Q1               %le         64.28000068
@ Q2               %le         59.31000012
@ DQ1              %le        -86.19015569
@ DQ2              %le        -81.51559529
@ DXMAX            %le         2.859817065
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         595.1194258
@ BETYMAX          %le         609.5259281
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.396874723
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %52s "V6.5: new IR3/7, moved Q3 in IR1/2/5/8 -  March 2004"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "09/11/17"
@ TIME             %08s "16.13.50"
* NAME                                S               BETX               BETY               ALFX               ALFY                MUX                MUY                  X                  Y                 DX 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "MCS.C30R1.B1"              52.6274841        31.77947503        170.5758351        0.529359783        -2.33406824       0.1152786375       0.1315612017                  0                  0        1.000200336
 "DRIFT_10"                  53.4514841        30.93444234        174.4480453       0.4961653157       -2.365215961       0.1194617818       0.1323214531                  0                  0       0.9895745001
 "BPM.30R1.B1"               53.4514841        30.93444234        174.4480453       0.4961653157       -2.365215961       0.1194617818       0.1323214531                  0                  0       0.9895745001
 "DRIFT_0"                   54.0424841        30.36204557        177.2569336       0.4723571479       -2.387556136       0.1225311421       0.1328563545                  0                  0       0.9819532996
 "MO.30R1.B1"                54.3624841        30.06386213        178.7888403       0.4594660926       -2.399652338       0.1242168811       0.1331424418                  0                  0       0.9778267612
 "DRIFT_1"                   54.6634841        29.79091336        180.2368558       0.4473404438       -2.411030329       0.1258176537       0.1334093087                  0                  0        0.973945236
 "MQ.30R1.B1"                57.7634841        29.79091331        180.2368561      -0.4473404254        2.411030245       0.1426394862       0.1361092835                  0                  0       0.9739452344
 "DRIFT_2"                   57.9239841        29.93554732        179.4638891      -0.4538060952        2.404963244       0.1434948714        0.136251315                  0                  0       0.9760149512
 "MS.30R1.B1"                58.2929841        30.27594141        177.6941732      -0.4686710932        2.391014811       0.1454456813       0.1365801831                  0                  0       0.9807733654
 "DRIFT_3"                   58.3779841        30.35590655        177.2879738      -0.4720952797        2.387801757        0.145891922        0.136656402                  0                  0        0.981869477
 "MCBV.30R1.B1"              59.0249841        30.98366131         174.213982      -0.4981593818        2.363344749        0.149249829         0.13724233                  0                  0       0.9902128212
 "DRIFT_11"                 60.12873145        32.13242249         169.042962      -0.5426233441        2.321622403       0.1548183558        0.138265983                  0                  0        1.004446119
 "MB.A31R1.B1"              74.42873145        55.88806094        110.3744122       -1.118595711        1.781073384       0.2095996926       0.1549584271                  0                  0        1.225301841
 "DRIFT_7"                   74.6479788        56.38049553         109.595238       -1.127427329        1.772785696       0.2102213221        0.155275694                  0                  0         1.22924685
 "MCS.A31R1.B1"              74.7579788        56.62901695        109.2056826       -1.131858296        1.768627626       0.2105311562       0.1554357214                  0                  0        1.231226125
 "DRIFT_9"                   75.4529788        58.22175697        106.7655488       -1.159853957        1.742356188       0.2124575868       0.1564601219                  0                  0        1.243731548
 "MCO.31R1.B1"               75.4529788        58.22175697        106.7655488       -1.159853957        1.742356188       0.2124575868       0.1564601219                  0                  0        1.243731548
 "DRIFT_5"                   75.4544788        58.22523662        106.7603218       -1.159914379        1.742299487       0.2124616871        0.156462358                  0                  0        1.243758538
 "MCD.31R1.B1"               75.4544788        58.22523662        106.7603218       -1.159914379        1.742299487       0.2124616871        0.156462358                  0                  0        1.243758538
 "DRIFT_6"                  75.78922614        59.00630693        105.5980973       -1.173398513        1.729645826       0.2133706262       0.1569641283                  0                  0        1.249781785
 "MB.B31R1.B1"              90.08922614        100.8004855        63.86007768        -1.74924598        1.189096806       0.2430527007       0.1848210515                  0                  0        1.543535149
 "DRIFT_7"                  90.30847349        101.5694567        63.34048209       -1.758076432        1.180809118         0.24339756       0.1853697073                  0                  0        1.548597764
 "MCS.B31R1.B1"             90.41847349        101.9567208        63.08116147       -1.762506816        1.176651049       0.2435695977       0.1856466708                  0                  0        1.551137761
 "DRIFT_8"                  91.44972084        105.6347144         60.6945248        -1.80404155        1.137669249       0.2451511329       0.1882993118                  0                  0        1.574950174
 "MB.C31R1.B1"              105.7497208        165.4626713        35.88703526       -2.379695385       0.5971202292       0.2623996364       0.2378620046                  0                  0        1.941592812
