@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
 "BPM.16L1.B1"              24555.42251        170.9897791
 "BPM.15L1.B1"              24608.87102        30.93711024
 "BPM.14L1.B1"              24662.31954        170.9897776
 "BPM.13L1.B1"              24715.76805        30.93710974
 "BPM.12L1.B1"              24769.21657        178.6584277
 "BPM.11L1.B1"              24822.66509        31.59891431
 "BPM.10L1.B1"               24875.4458        174.1042607
 "BPM.9L1.B1"               24914.51081        20.02145609
 "BPM.8L1.B1"               24954.97382        109.9012448
 "BPMR.7L1.B1"              24994.03983        61.13174994
 "BPM.6L1.B1"               25037.22383        184.7560294
 "BPMR.5L1.B1"              25069.12383        103.6431516
 "BPMYA.4L1.B1"             25090.24183        185.1717801
 "BPMWB.4L1.B1"             25111.37433        165.5332201
 "BPMSY.4L1.B1"             25204.15433        104.3929404
 "BPMS.2L1.B1"              25230.93983        159.3618489
 "BPMSW.1L1.B1"             25240.99383        52.92505693
 "BPMSW.1R1.B1"             25283.94383        52.92505635
 "BPMS.2R1.B1"              25293.99783        59.42864226
 "BPMSY.4R1.B1"             25320.78333        187.1954033
 "BPMWB.4R1.B1"             25413.56333        79.32102915
 "BPMYA.4R1.B1"             25434.69583        93.00411738
 "BPM.5R1.B1"               25462.10383        190.3066786
 "BPMR.6R1.B1"              25494.00383         77.6091092
 "BPM_A.7R1.B1"             25521.72783        117.5789278
 "BPM.8R1.B1"               25563.16682        22.50215613
 "BPM.9R1.B1"               25602.23381        125.8820309
 "BPM.10R1.B1"               25642.6988        25.60164856
 "BPM.11R1.B1"              25695.48149        178.5963124
 "BPM.12R1.B1"              25750.20797         37.0784315
 "BPM.13R1.B1"              25803.65945        171.2784326
 "BPM.14R1.B1"              25857.11094        30.93444261
 "BPM.15R1.B1"              25910.56242        171.0049833
 "BPM.16R1.B1"              25964.01391        30.93444208
 "BPM.17R1.B1"              26017.46539        171.0049848
 "BPM.18R1.B1"              26070.91687        30.93444258
 "BPM.19R1.B1"              26124.36836        171.0049829
 "BPM.20R1.B1"              26177.81984        30.93444213
 "BPM.21R1.B1"              26231.27133        171.0049852
 "BPM.22R1.B1"              26284.72281        30.93444252
 "BPM.23R1.B1"               26338.1743        171.0049826
 "BPM.24R1.B1"              26391.62578         30.9344422
 "BPM.25R1.B1"              26445.07726        171.0049854
 "BPM.26R1.B1"              26498.52875        30.93444244
 "BPM.27R1.B1"              26551.98023        171.0049824
 "BPM.28R1.B1"              26605.43172        30.93444229
 "LHCB1BPM.29R1.B1_P_"          26658.8832        171.0049855
